[Parsed_ebur128_0 @ 0x55e735335380] t: 7.39998    TARGET:-23 LUFS    M: -31.7 S: -30.0     I: -29.9 LUFS       LRA:   2.9 LU  FTPK: -18.3 -17.1 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.49998    TARGET:-23 LUFS    M: -28.1 S: -29.5     I: -29.9 LUFS       LRA:   2.9 LU  FTPK: -18.5 -18.5 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.59998    TARGET:-23 LUFS    M: -26.8 S: -29.2     I: -29.8 LUFS       LRA:   2.9 LU  FTPK: -20.0 -20.6 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.69998    TARGET:-23 LUFS    M: -25.5 S: -28.9     I: -29.7 LUFS       LRA:   3.0 LU  FTPK: -17.4 -15.3 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.79998    TARGET:-23 LUFS    M: -25.0 S: -28.5     I: -29.4 LUFS       LRA:   3.1 LU  FTPK: -17.8 -15.6 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.89998    TARGET:-23 LUFS    M: -25.4 S: -28.5     I: -29.3 LUFS       LRA:   3.4 LU  FTPK: -19.3 -20.3 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.99998    TARGET:-23 LUFS    M: -25.5 S: -28.5     I: -29.2 LUFS       LRA:   3.4 LU  FTPK: -19.7 -21.5 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.09998    TARGET:-23 LUFS    M: -26.3 S: -28.5     I: -29.2 LUFS       LRA:   3.8 LU  FTPK: -24.1 -23.4 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.19998    TARGET:-23 LUFS    M: -28.4 S: -28.8     I: -29.1 LUFS       LRA:   3.8 LU  FTPK: -26.1 -29.9 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.29998    TARGET:-23 LUFS    M: -30.4 S: -29.1     I: -29.1 LUFS       LRA:   3.8 LU  FTPK: -26.1 -28.4 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.39998    TARGET:-23 LUFS    M: -33.2 S: -29.3     I: -29.2 LUFS       LRA:   3.7 LU  FTPK: -27.7 -28.9 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.49998    TARGET:-23 LUFS    M: -35.2 S: -29.6     I: -29.3 LUFS       LRA:   3.7 LU  FTPK: -28.3 -29.6 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.59998    TARGET:-23 LUFS    M: -36.0 S: -29.6     I: -29.3 LUFS       LRA:   3.7 LU  FTPK: -31.2 -28.8 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.69998    TARGET:-23 LUFS    M: -36.2 S: -29.6     I: -29.4 LUFS       LRA:   3.7 LU  FTPK: -28.1 -31.3 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.79998    TARGET:-23 LUFS    M: -36.3 S: -29.6     I: -29.4 LUFS       LRA:   3.7 LU  FTPK: -26.5 -30.9 dBFS  TPK: -17.0 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 8.89998    TARGET:-23 LUFS    M: -36.2 S: -29.5     I: -29.5 LUFS       LRA:   3.7 LU  FTPK: -27.4 -27.8 dBFS  TPK: -17.0 -15.3 dBFS
